Team A,Team A Overall,Team A Foil,Team A Epee,Team A Saber,Team B,Team B Overall,Team B Foil,Team B Epee,Team B Saber,Date,Host
pennstate,17,9,8,0,fdu,10,0,1,9,2024-02-03,northwestern
temple,24,9,7,8,lawrence,3,0,2,1,2024-02-03,northwestern
northwestern,14,4,5,5,notredame,13,5,4,4,2024-02-03,northwestern
stanford,14,6,3,5,ohiostate,13,3,6,4,2024-02-03,northwestern
cornell,14,5,3,6,ucsd,13,4,6,3,2024-02-03,northwestern
denison,22,8,5,9,fdu,5,1,4,0,2024-02-03,northwestern
incarnateword,17,6,8,3,clevelandstate,5,0,1,4,2024-02-03,northwestern
bostoncollege,17,6,3,8,waynestate,10,3,6,1,2024-02-03,northwestern
AirForce,22,9,9,4,lawrence,5,0,0,5,2024-02-03,northwestern
northwestern,20,7,4,9,pennstate,7,2,5,0,2024-02-03,northwestern
temple,18,6,7,5,notredame,9,3,2,4,2024-02-03,northwestern
AirForce,24,9,9,6,lawrence,3,0,0,3,2024-02-03,northwestern
ohiostate,26,9,8,9,detroitmercy,1,0,1,0,2024-02-03,northwestern
ucsd,26,9,8,9,clevelandstate,1,0,1,0,2024-02-03,northwestern
stanford,16,7,3,6,waynestate,8,2,6,0,2024-02-03,northwestern
bostoncollege,27,9,9,9,lawrence,0,0,0,0,2024-02-03,northwestern
cornell,16,5,7,4,notredame,11,4,2,5,2024-02-03,northwestern
bostoncollege,23,9,6,8,incarnateword,4,0,3,1,2024-02-03,northwestern
waynestate,22,8,9,5,fdu,5,1,0,4,2024-02-03,northwestern
pennstate,14,7,7,0,denison,13,2,2,9,2024-02-03,northwestern
ucsd,18,7,5,6,temple,9,2,4,3,2024-02-03,northwestern
ohiostate,22,7,8,7,lawrence,5,2,1,2,2024-02-03,northwestern
notredame,17,5,6,6,stanford,10,4,3,3,2024-02-03,northwestern
cornell,18,4,5,9,AirForce,9,5,4,0,2024-02-03,northwestern
fdu,15,9,2,4,clevelandstate,12,0,7,5,2024-02-03,northwestern
