Team A,Team A Overall,Team A Foil,Team A Epee,Team A Saber,Team B,Team B Overall,Team B Foil,Team B Epee,Team B Saber,Date,Host
Northwestern,15,4,6,5,Notre Dame,12,5,3,4,2024-01-27,Notre Dame
Northwestern,20,6,5,9,Wayne State,7,3,4,0,2024-01-27,Notre Dame
Notre Dame,22,8,7,7,Denison,5,1,2,2,2024-01-27,Notre Dame
Lawrence,21,6,8,7,Detroit Mercy,3,0,1,2,2024-01-27,Notre Dame
Notre Dame,22,9,5,8,Cleveland State,5,0,4,1,2024-01-27,Notre Dame
Northwestern,25,8,8,9,Lawrence,2,1,1,0,2024-01-27,Notre Dame
Boston College,16,9,2,5,Stevens,11,0,7,4,2024-01-27,Brandeis
Brandeis,18,5,4,9,NJIT,9,4,5,0,2024-01-27,Brandeis
Duke,27,9,9,9,Haverford,0,0,0,0,2024-01-27,Brandeis
MIT,25,7,9,9,Hunter,2,2,0,0,2024-01-27,Brandeis
NYU,14,4,6,4,Brown,13,5,3,5,2024-01-27,Brandeis
Brandeis,18,6,6,6,Stevens,9,3,3,3,2024-01-27,Brandeis
Duke,20,7,8,5,Brown,7,2,1,4,2024-01-27,Brandeis
MIT,14,4,5,5,NYU,13,5,4,4,2024-01-27,Brandeis
Tufts,18,7,3,8,NJIT,9,2,6,1,2024-01-27,Brandeis
Wellesley,24,8,8,8,Hunter,3,1,1,1,2024-01-27,Brandeis
Duke,18,7,5,6,Boston College,9,2,4,3,2024-01-27,Brandeis
NYU,15,5,7,3,Brandeis,12,4,2,6,2024-01-27,Brandeis
Brown,27,9,9,9,Hunter,0,0,0,0,2024-01-27,Brandeis
MIT,22,7,8,7,Haverford,5,2,1,2,2024-01-27,Brandeis
Tufts,21,8,5,8,Stevens,6,1,4,1,2024-01-27,Brandeis
Boston College,27,9,9,9,Haverford,0,0,0,0,2024-01-27,Brandeis
Brandeis,21,7,6,8,Hunter,6,2,3,1,2024-01-27,Brandeis
Brown,19,9,3,7,Stevens,8,0,6,2,2024-01-27,Brandeis
Duke,19,6,7,6,Tufts,8,3,2,3,2024-01-27,Brandeis
Wellesley,15,7,4,4,NYU,12,2,5,5,2024-01-27,Brandeis
Boston College,16,4,7,5,NYU,11,5,2,4,2024-01-27,Brandeis
Duke,22,8,6,8,Brandeis,5,1,3,1,2024-01-27,Brandeis
MIT,21,8,4,9,NJIT,6,1,5,0,2024-01-27,Brandeis
Stevens,18,6,3,9,Hunter,9,3,6,0,2024-01-27,Brandeis
Wellesley,23,7,9,7,Haverford,4,2,0,2,2024-01-27,Brandeis
Boston College,26,8,9,9,Hunter,1,1,0,0,2024-01-27,Brandeis
Brandeis,24,8,7,9,Haverford,3,1,2,0,2024-01-27,Brandeis
Brown,25,9,7,9,NJIT,2,0,2,0,2024-01-27,Brandeis
Duke,25,8,9,8,NYU,2,1,0,1,2024-01-27,Brandeis
Wellesley,17,6,7,4,Stevens,10,3,2,5,2024-01-27,Brandeis
Boston College,27,9,9,9,NJIT,0,0,0,0,2024-01-27,Brandeis
Brown,27,9,9,9,Haverford,0,0,0,0,2024-01-27,Brandeis
MIT,20,5,8,7,Stevens,7,4,1,2,2024-01-27,Brandeis
Tufts,14,6,4,4,NYU,13,3,5,5,2024-01-27,Brandeis
Harvard,16,7,5,4,Duke,11,2,4,5,2024-01-26,Harvard
Princeton,17,4,4,9,Wagner,10,5,5,0,2024-01-24,Princeton
Princeton,22,6,7,9,Drew,5,3,2,0,2024-01-21,Penn
Penn State,22,9,5,8,NJIT,5,0,4,1,2024-01-21,Penn
Duke,15,3,5,7,Northwestern,12,6,4,2,2024-01-21,Penn
Ohio State,21,7,6,8,NYU,6,2,3,1,2024-01-21,Penn
Notre Dame,20,7,7,6,Temple,7,2,2,3,2024-01-21,Penn
Penn,14,4,5,5,Northwestern,13,5,4,4,2024-01-21,Penn
