Team A,Team A Overall,Team A Foil,Team A Epee,Team A Saber,Team B,Team B Overall,Team B Foil,Team B Epee,Team B Saber,Date,Host
shu,15,4,6,5,njit,12,5,3,4,2023-12-03,shu
princeton,22,7,8,7,vassar,5,2,1,2,2023-12-03,shu
princeton,22,6,8,8,shu,5,3,1,1,2023-12-03,shu
njit,17,5,6,6,vassar,10,4,3,3,2023-12-03,shu
princeton,24,8,9,7,njit,3,1,0,2,2023-12-03,shu
nyu,19,6,6,7,shu,8,3,3,2,2023-12-03,shu
pennstate,23,8,7,8,vassar,4,1,2,1,2023-12-03,shu
nyu,17,3,6,8,njit,10,6,3,1,2023-12-03,shu
pennstate,22,8,7,7,shu,5,1,2,2,2023-12-03,shu
brandeis,14,6,3,5,drew,13,3,6,4,2023-12-03,brandeis
mit,18,9,5,4,lawrence,9,0,4,5,2023-12-03,brandeis
yale,27,9,9,9,yeshiva,0,0,0,0,2023-12-03,brandeis
bostoncollege,16,7,2,7,drew,11,2,7,2,2023-12-03,brandeis
brandeis,16,7,5,4,lawrence,11,2,4,5,2023-12-03,brandeis
stjohns,16,4,8,4,mit,11,5,1,5,2023-12-03,brandeis
stjohns,16,2,7,7,brandeis,11,7,2,2,2023-12-03,brandeis
drew,14,7,3,4,liu,13,2,6,5,2023-12-03,brandeis
yale,22,8,5,9,mit,5,1,4,0,2023-12-03,brandeis
bostoncollege,26,9,9,8,lawrence,1,0,0,1,2023-12-03,brandeis
brandeis,26,9,8,9,yeshiva,1,0,1,0,2023-12-03,brandeis
yale,15,4,3,8,stjohns,12,5,6,1,2023-12-03,brandeis
bostoncollege,19,8,5,6,liu,8,1,4,3,2023-12-03,brandeis
yale,20,8,6,6,lawrence,7,1,3,3,2023-12-03,brandeis
stjohns,26,9,8,9,yeshiva,1,0,1,0,2023-12-03,brandeis
yale,16,6,5,5,brandeis,11,3,4,4,2023-12-03,brandeis
mit,25,9,9,7,yeshiva,2,0,0,2,2023-12-03,brandeis
yale,15,4,7,4,bostoncollege,12,5,2,5,2023-12-03,brandeis
drew,18,3,8,7,mit,9,6,1,2,2023-12-03,brandeis
stjohns,21,9,7,5,liu,6,0,2,4,2023-12-03,brandeis
